t soma.v(0.5)
 1015.01 28.1632
 1015.02 29.361
 1015.03 30.4245
 1015.04 31.3676
 1015.05 32.2023
 1015.06 32.9411
 1015.08 33.5969
 1015.09 34.1811
 1015.1 34.7038
 1015.11 35.1733
 1015.12 35.5969
 1015.13 35.9808
 1015.14 36.3298
 1015.16 36.6477
 1015.17 36.9372
 1015.18 37.2004
 1015.19 37.4389
 1015.2 37.654
 1015.21 37.8469
 1015.22 38.0185
 1015.24 38.1698
 1015.25 38.302
 1015.26 38.416
 1015.27 38.513
 1015.28 38.5937
 1015.29 38.659
 1015.3 38.7098
 1015.32 38.7469
 1015.33 38.7714
 1015.34 38.784
 1015.35 38.7857
 1015.36 38.7776
 1015.37 38.7602
 1015.38 38.7345
 1015.4 38.701
 1015.41 38.66
 1015.42 38.6119
 1015.43 38.5569
 1015.44 38.495
 1015.45 38.4261
 1015.46 38.35
 1015.48 38.2666
 1015.49 38.1757
 1015.5 38.0771
 1015.51 37.9706
 1015.52 37.8562
 1015.53 37.7339
 1015.54 37.6037
 1015.56 37.4656
 1015.57 37.3201
 1015.58 37.1672
 1015.59 37.0072
 1015.6 36.8406
 1015.61 36.6675
 1015.62 36.4884
 1015.64 36.3037
 1015.65 36.1137
 1015.66 35.9187
 1015.67 35.7191
 1015.68 35.5152
 1015.69 35.3073
 1015.7 35.0956
 1015.72 34.8804
 1015.73 34.6618
 1015.74 34.44
 1015.75 34.2151
 1015.76 33.9873
 1015.77 33.7565
 1015.78 33.523
 1015.8 33.2866
 1015.81 33.0474
 1015.82 32.8056
 1015.83 32.561
 1015.84 32.3137
 1015.85 32.0637
 1015.87 31.8111
 1015.88 31.5559
 1015.89 31.298
 1015.9 31.0376
 1015.91 30.7746
 1015.92 30.5091
 1015.93 30.2411
 1015.95 29.9706
 1015.96 29.6976
 1015.97 29.4223
 1015.98 29.1445
 1015.99 28.8644
 1016 28.5821
 1016.01 28.2974
 1016.03 28.0106
 1016.04 27.7217
 1016.05 27.4306
 1016.06 27.1375
 1016.07 26.8425
 1016.08 26.5456
 1016.09 26.2469
 1016.11 25.9464
 1016.12 25.6442
 1016.13 25.3404
 1016.14 25.0351
 1016.15 24.7283
 1016.16 24.42
 1016.17 24.1104
 1016.19 23.7995
 1016.2 23.4874
 1016.21 23.1741
 1016.22 22.8597
 1016.23 22.5443
 1016.24 22.2279
 1016.25 21.9107
 1016.27 21.5926
 1016.28 21.2738
 1016.29 20.9543
 1016.3 20.6343
 1016.31 20.3137
 1016.32 19.9926
 1016.33 19.6712
 1016.35 19.3494
 1016.36 19.0273
 1016.37 18.7051
 1016.38 18.3826
 1016.39 18.06
 1016.4 17.7374
 1016.41 17.4147
 1016.43 17.092
 1016.44 16.7693
 1016.45 16.4467
 1016.46 16.1242
 1016.47 15.8017
 1016.48 15.4795
 1016.49 15.1574
 1016.51 14.8355
 1016.52 14.5138
 1016.53 14.1923
 1016.54 13.871
 1016.55 13.5501
 1016.56 13.2294
 1016.58 12.909
 1016.59 12.5889
 1016.6 12.2692
 1016.61 11.9498
 1016.62 11.6308
 1016.63 11.3121
 1016.64 10.9939
 1016.66 10.676
 1016.67 10.3586
 1016.68 10.0416
 1016.69 9.72506
 1016.7 9.40895
 1016.71 9.09331
 1016.72 8.77815
 1016.74 8.46347
 1016.75 8.1493
 1016.76 7.83562
 1016.77 7.52247
 1016.78 7.20984
 1016.79 6.89775
 1016.8 6.5862
 1016.82 6.27521
 1016.83 5.96479
 1016.84 5.65494
 1016.85 5.34568
 1016.86 5.03703
 1016.87 4.72898
 1016.88 4.42156
 1016.9 4.11478
 1016.91 3.80865
 1016.92 3.50318
 1016.93 3.1984
 1016.94 2.89431
 1016.95 2.59093
 1016.96 2.28828
 1016.98 1.98637
 1016.99 1.68523
 1017 1.38486
 1017.01 1.08529
 1017.02 0.786534
 1017.03 0.488609
 1017.04 0.191534
 1017.06 -0.104675
 1017.07 -0.400001
 1017.08 -0.694427
 1017.09 -0.987936
 1017.1 -1.28051
 1017.11 -1.57214
 1017.12 -1.86281
 1017.14 -2.1525
 1017.15 -2.4412
 1017.16 -2.7289
 1017.17 -3.01558
 1017.18 -3.30124
 1017.19 -3.58586
 1017.2 -3.86944
 1017.22 -4.15196
 1017.23 -4.43342
 1017.24 -4.7138
 1017.25 -4.9931
 1017.26 -5.27132
 1017.27 -5.54844
 1017.29 -5.82446
 1017.3 -6.09936
 1017.31 -6.37316
 1017.32 -6.64583
 1017.33 -6.91737
 1017.34 -7.18778
 1017.35 -7.45704
 1017.37 -7.72516
 1017.38 -7.99213
 1017.39 -8.25794
 1017.4 -8.52259
 1017.41 -8.78606
 1017.42 -9.04836
 1017.43 -9.30948
